title	authors	journal	year	pmid	pmcid	doi
Assessing dynamic fluid-responsiveness using transthoracic echocardiography in intensive care.	Desai N, Garry D.	BJA education	2018	33456836	PMC7807830	10.1016/j.bjae.2018.03.005
Comparative Physiology and Morphology of BLA-Projecting NBM/SI Cholinergic Neurons in Mouse and Macaque.	Luo F, Jiang L, Desai NS, Bai L, Watkins GV, Eldridge MAG, Plotnikova AS, Mohanty A, Cummins AC, Averbeck BB, Talmage DA, Role LW.	The Journal of comparative neurology	2024	39576005	PMC11583843	10.1002/cne.70001
Artificial intelligence, ethics, and hospital medicine: Addressing challenges to ethical norms and patient-centered care.	Prochaska M, Alfandre D.	Journal of hospital medicine	2024	38650109	PMC11613580	10.1002/jhm.13364
Towards Standards-Based Generation of Reusable Life Cycle Inventory Data Models for Manufacturing Processes.	Brundage MP, Lechevalier D, Morris KC.	Journal of manufacturing science and engineering	2019	39449729	PMC11500067	10.1115/1.4041947
Machine Learning-Based Predictive Farmland Optimization and Crop Monitoring System.	Adebiyi MO, Ogundokun RO, Abokhai AA.	Scientifica	2020	32455052	PMC7238365	10.1155/2020/9428281
A tale of two densities: active inference is enactive inference.	Ramstead MJ, Kirchhoff MD, Friston KJ.	Adaptive behavior	2020	32831534	PMC7418871	10.1177/1059712319862774
Cost-effectiveness models of non-small cell lung cancer: A systematic literature review.	Willis M, Nilsson A, Thet Lwin ZM, Brådvik G, Prelaj A.	Journal of managed care & specialty pharmacy	2025	39745843	PMC11697584	10.18553/jmcp.2025.31.1.69
Howl variation across Himalayan, North African, Indian, and Holarctic wolf clades: tracing divergence in the world's oldest wolf lineages using acoustics.	Hennelly L, Habib B, Root-Gutteridge H, Palacios V, Passilongo D.	Current zoology	2017	29491993	PMC5804178	10.1093/cz/zox001
New bioactive secondary metabolites from fungi: 2023.	Shi Y, Ji M, Dong J, Shi D, Wang Y, Liu L, Feng S, Liu L.	Mycology	2024	39247896	PMC11376311	10.1080/21501203.2024.2354302
The Epistemic Threat of Deepfakes.	Fallis D.	Philosophy & technology	2021	32837868	PMC7406872	10.1007/s13347-020-00419-2
Modeling Microbial Community Networks: Methods and Tools for Studying Microbial Interactions.	Srinivasan S, Jnana A, Murali TS.	Microbial ecology	2024	38587642	PMC11001700	10.1007/s00248-024-02370-7
Special Issue on Ontologies and Data Management: Part II.	Schneider T, Šimkus M.	Kunstliche intelligenz	2020	33343087	PMC7731980	10.1007/s13218-020-00693-4
Strong rules for discarding predictors in lasso-type problems.	Tibshirani R, Bien J, Friedman J, Hastie T, Simon N, Taylor J, Tibshirani RJ.	Journal of the Royal Statistical Society. Series B, Statistical methodology	2012	25506256	PMC4262615	10.1111/j.1467-9868.2011.01004.x
The grimace scale: a useful tool for assessing pain in laboratory animals.	Onuma K, Watanabe M, Sasaki N.	Experimental animals	2024	38382945	PMC11254488	10.1538/expanim.24-0010
Towards a Theory of Legal Animal Rights: Simple and Fundamental Rights.	Stucki S.	Oxford journal of legal studies	2020	33312068	PMC7714088	10.1093/ojls/gqaa007
Leonardo da Vinci: changing approaches to teaching and learning.	Carelli F.	London journal of primary care	2014	25949713	PMC4338520	10.1080/17571472.2014.11493413
Computation in Psychotherapy, or How Computational Psychiatry Can Aid Learning-Based Psychological Therapies.	Moutoussis M, Shahar N, Hauser TU, Dolan RJ.	Computational psychiatry (Cambridge, Mass.)	2018	30090862	PMC6067826	10.1162/cpsy_a_00014
Detection of the Soluble Solid Contents from Fresh Jujubes during Different Maturation Periods Using NIR Hyperspectral Imaging and an Artificial Bee Colony.	Sun H, Zhang S, Chen C, Li C, Xing S, Liu J, Xue J.	Journal of analytical methods in chemistry	2019	31061741	PMC6466885	10.1155/2019/5032950
Optimal Thresholding of Classifiers to Maximize F1 Measure.	Lipton ZC, Elkan C, Naryanaswamy B.	Machine learning and knowledge discovery in databases : European Conference, ECML PKDD ... : proceedings. ECML PKDD (Conference)	2014	26023687	PMC4442797	10.1007/978-3-662-44851-9_15
Comparing Twitter data to routine data sources in public health surveillance for the 2015 Pan/Parapan American Games: an ecological study.	Khan Y, Leung GJ, Belanger P, Gournis E, Buckeridge DL, Liu L, Li Y, Johnson IL.	Canadian journal of public health = Revue canadienne de sante publique	2018	29981081	PMC6964588	10.17269/s41997-018-0059-0
Climate change impacts on plant pathogens, food security and paths forward.	Singh BK, Delgado-Baquerizo M, Egidi E, Guirado E, Leach JE, Liu H, Trivedi P.	Nature reviews. Microbiology	2023	37131070	PMC10153038	10.1038/s41579-023-00900-7
Relationships between variance in electroencephalography relative power and developmental status in infants with typical development and at risk for developmental disability: An observational study.	Hooyman A, Kayekjian D, Xiao R, Jiang C, Vanderbilt DL, Smith BA.	Gates open research	2018	30569037	PMC6266744	10.12688/gatesopenres.12868.2
Metabolomic characterization of semen from asthenozoospermic patients using ultra-high-performance liquid chromatography-tandem quadrupole time-of-flight mass spectrometry.	Li L, Hao X, Chen H, Wang L, Chen A, Song X, Hu Z, Su Y, Lin H, Fan P.	Biomedical chromatography : BMC	2020	32428267	PMC7507193	10.1002/bmc.4897
Non-Indigenous and Indigenous food-related interactions: How does the transmission of a normativity perpetuate colonialism?	Hamel-Charest L.	Canadian journal of public health = Revue canadienne de sante publique	2024	38052883	PMC10868566	10.17269/s41997-023-00834-w
