File	Key	Old_Value	New_Value	Type
PMC5650527	publication/pmid	28624633	28624633	Update
PMC5650527	publication/pmcid	None	PMC5650527	New_Key
PMC5650527	publication/updated	03/08/2022 10:24:58	0	Update
PMC5650527	publication/authors	Sánchez-Rodríguez A, Pérez-Castillo Y, Schürer SC, Nicolotti O, Mangiatordi GF, Borges F, Cordeiro MNDS, Tejera E, Medina-Franco JL, Cruz-Monteagudo M	Sánchez-Rodríguez A, Pérez-Castillo Y, Schürer SC, Nicolotti O, Mangiatordi GF, Borges F, Cordeiro MNDS, Tejera E, Medina-Franco JL, Cruz-Monteagudo M.	Update
PMC5650527	publication/journal	Drug Discov Today	Drug discovery today	Update
PMC5650527	publication/year	2017	2017	Update
PMC5650527	publication/tags	[]	True	Update
PMC5650527	dataset/availability	yes	Yes, in supporting information	Update
PMC5650527	dataset/provenance	"https://doi.org/10.7554/eLife.01256.001,
https://doi.org/10.1534/g3.115.018853"	Yes (ChEMBL-NTD Novartis dataset and dataset from previous publication)	Update
PMC5650527	dataset/redundancy	"In order to avoid excessive numbers of false
positive calls due to this imbalance, we trained the
models to optimize the metric Kappa rather than accuracy, as Kappa accounts for imbalanced number of genes
belonging to each class in training data"	Yes, independent training, test and external test sets generated using sphere exclusion algorithms	Update
PMC5650527	dataset/splits	253 MAE genes and 1127 BAE genes	Yes: N_pos and N_neg for training, test and external test sets	Update
PMC5650527	dataset/done	4	0	Update
PMC5650527	optimization/algorithm	various	LSSVM	Update
PMC5650527	optimization/encoding	processing of signals and the resulting values are converted to quantile rank.	Fragments of atoms and bonds (ISIDA Fragmentor software) scaled to the interval [0-1]	Update
PMC5650527	optimization/features	defaults classification labels lists or can be provided by the user	Yes: 5-25 features per model, randomly selected among 250 most informative on training dataset (removal of features returning nearly constant values (about for 99%) and selection of top-250 according to Mutual Information Quotient score (Minimal Redundancy Maximal Relevance mRMR algorithm))	Update
PMC5650527	optimization/fitting	no	No	Update
PMC5650527	optimization/meta	authors recommend to choose the model with the highest F1-score	Yes: model aggregation (ensemble modeling) and multi-criteria decision making Trained on the same dataset	Update
PMC5650527	optimization/parameters	not clearly  stated	2 LSSVM parameters (RBF kernel (σ2) and regularization (γ))  Minimization of the misclassification rate of the 10-fold cross-validated training dataset	Update
PMC5650527	optimization/regularization	no	Yes: γ parameter (LSSVM) 	Update
PMC5650527	optimization/done	7	0	Update
PMC5650527	optimization/skip	1	0	Update
PMC5650527	model/availability	https://github.com/gimelbrantlab/magic	No	Update
PMC5650527	model/duration		No	Update
PMC5650527	model/interpretability	various methods to directly determine class of genes	Black box	Update
PMC5650527	model/output	classification	Classification and score based on LSSVM scores	Update
PMC5650527	model/done	3	0	Update
PMC5650527	model/skip	1	0	Update
PMC5650527	evaluation/comparison		No	Update
PMC5650527	evaluation/confidence	qualitative description of the advantages of the presented pipeline	No	Update
PMC5650527	evaluation/measure	precision and recall	Accuracy (Acc), Sensitivity (Se), Specificity (Sp) and Balanced Classification Rate (BCR) Area Under the Accumulation Curve (AUAC); Area under the Receiver Operating Characteristic Curve (ROC); Enrichment factor (EF) and Boltzmann-enhanced discrimination of ROC (BEDROC)	Update
PMC5650527	evaluation/method	Cross-validation and independent dataset	Independent dataset	Update
PMC5650527	evaluation/done	3	0	Update
PMC5650527	evaluation/skip	2	0	Update
PMC7680913	publication/pmid	33240258	33240258	Update
PMC7680913	publication/pmcid	None	PMC7680913	New_Key
PMC7680913	publication/updated	02/09/2022 15:02:29	0	Update
PMC7680913	publication/authors	Jia J, Wang M, Ma Y, Teng J, Shi H, Liu H, Sun Y, Su Y, Meng J, Chi H, Chen X, Cheng X, Ye J, Liu T, Wang Z, Wan L, Zhou Z, Wang F, Yang C, Hu Q	Jia J, Wang M, Ma Y, Teng J, Shi H, Liu H, Sun Y, Su Y, Meng J, Chi H, Chen X, Cheng X, Ye J, Liu T, Wang Z, Wan L, Zhou Z, Wang F, Yang C, Hu Q.	Update
PMC7680913	publication/journal	Front Immunol	Frontiers in immunology	Update
PMC7680913	publication/year	2020	2020	Update
PMC7680913	publication/tags	[]	True	Update
PMC7680913	dataset/availability	Support information files.	in supplementary files	Update
PMC7680913	dataset/provenance	Database CATnot reportedP http://hiv.lanl.gov/catnap	they created the dataset	Update
PMC7680913	dataset/redundancy		not applicable	Update
PMC7680913	dataset/splits	3864 exact IC50 values are split randomly in half into a training set and a validation set.	training set: 40 (23 active and 17 inactive) patients & 24 healthy, validation set: 26 (18 active and 8 inactive) patients & 16 healthy	Update
PMC7680913	dataset/done	3	0	Update
PMC7680913	dataset/skip	1	0	Update
PMC7680913	optimization/algorithm	Multi-Layer Perceptron 	SVM	Update
PMC7680913	optimization/config		No	Update
PMC7680913	optimization/encoding		global features invlude various clinical characteristis of sampes.	Update
PMC7680913	optimization/features	6179	4(Plasma samples were used to measure cell-free DNA, NE-DNA, MPO-DNA, and citH3-DNA complexes from training and validation sets.)	Update
PMC7680913	optimization/fitting		Not applicable	Update
PMC7680913	optimization/parameters	200	Grid search and Gaussian radial basis function kernels were implemented for tuning parameters.	Update
PMC7680913	optimization/regularization	No, high ratio between the number of experimental values in the training and number of parameters in the model 	Not applicable	Update
PMC7680913	optimization/done	4	0	Update
PMC7680913	optimization/skip	4	0	Update
PMC7680913	model/availability	Supplementary information	no	Update
PMC7680913	model/duration	about 13 minutes	not mentioned	Update
PMC7680913	model/interpretability	Black Box	Black box	Update
PMC7680913	model/output	Both	classification: binary predictions	Update
PMC7680913	model/done	4	0	Update
PMC7680913	evaluation/availability		no	Update
PMC7680913	evaluation/comparison	Neural Network with two hidden layers, k-nearest neighbors, Random Forest, SVM	novel approach	Update
PMC7680913	evaluation/confidence	Confidence intervals	svms accuracy	Update
PMC7680913	evaluation/measure	Confusion matrix	ROC, AUC, sensitivity, specificity	Update
PMC7680913	evaluation/method	Cross-validation	indipendent dataset	Update
PMC7680913	evaluation/done	4	0	Update
PMC7680913	evaluation/skip	1	0	Update
PMC7816647	publication/pmid	33464298	33464298	Update
PMC7816647	publication/pmcid	None	PMC7816647	New_Key
PMC7816647	publication/updated	03/21/2022 08:46:51	0	Update
PMC7816647	publication/authors	Kanfer G, Sarraf SA, Maman Y, Baldwin H, Dominguez-Martin E, Johnson KR, Ward ME, Kampmann M, Lippincott-Schwartz J, Youle RJ	Kanfer G, Sarraf SA, Maman Y, Baldwin H, Dominguez-Martin E, Johnson KR, Ward ME, Kampmann M, Lippincott-Schwartz J, Youle RJ.	Update
PMC7816647	publication/journal	J Cell Biol	The Journal of cell biology	Update
PMC7816647	publication/year	2021	2021	Update
PMC7816647	publication/tags	[]	True	Update
