title	authors	journal	year	pmid	pmcid	doi
Random forest algorithm to identify factors associated with sports-related dental injuries in 6 to 13-year-old athlete children in Hamadan, Iran-2018 -a cross-sectional study.	Farhadian M, Torkaman S, Mojarad F.	BMC sports science, medicine & rehabilitation	2020	33292522	PMC7659093	10.1186/s13102-020-00217-5
Personalized Risk Prediction for 30-Day Readmissions With Venous Thromboembolism Using Machine Learning.	Park JI, Kim D, Lee JA, Zheng K, Amin A.	Journal of nursing scholarship : an official publication of Sigma Theta Tau International Honor Society of Nursing	2021	33617689	PMC8568050	10.1111/jnu.12637
APPLYING MACHINE LEARNING TECHNIQUES IN DETECTING BACTERIAL VAGINOSIS.	Baker YS, Agrawal R, Foster JA, Beck D, Dozier G.	Proceedings. International Conference on Machine Learning and Cybernetics	2014	25914861	PMC4407517	10.1109/icmlc.2014.7009123
End-to-End Deep Learning Model to Predict and Design Secondary Structure Content of Structural Proteins.	Yu CH, Chen W, Chiang YH, Guo K, Martin Moldes Z, Kaplan DL, Buehler MJ.	ACS biomaterials science & engineering	2022	35129957	PMC9347213	10.1021/acsbiomaterials.1c01343
Automated CT image prescription of the gallbladder using deep learning: Development, evaluation, and health promotion.	Yang CY, Kao HL, Chen YC, Kuo CF, Liu CH, Liu SC.	Acute medicine & surgery	2025	40018053	PMC11865635	10.1002/ams2.70049
Deep learning prediction of attention-deficit hyperactivity disorder in African Americans by copy number variation.	Liu Y, Qu HQ, Chang X, Nguyen K, Qu J, Tian L, Glessner J, Sleiman PM, Hakonarson H.	Experimental biology and medicine (Maywood, N.J.)	2021	34233526	PMC8581823	10.1177/15353702211018970
Molecular de-extinction of ancient antimicrobial peptides enabled by machine learning.	Maasch JRMA, Torres MDT, Melo MCR, de la Fuente-Nunez C.	Cell host & microbe	2023	37516110	PMC11625410	10.1016/j.chom.2023.07.001
Streamlining follicular monitoring during controlled ovarian stimulation: a data-driven approach to efficient IVF care in the new era of social distancing.	Robertson I, Chmiel FP, Cheong Y.	Human reproduction (Oxford, England)	2021	33147345	PMC7665450	10.1093/humrep/deaa251
Predicting cardiovascular outcomes in Chinese patients with type 2 diabetes by combining risk factor trajectories and machine learning algorithm: a cohort study.	Huang Q, Zou X, Lian Z, Zhou X, Han X, Luo Y, Chen S, Wang Y, Wu S, Ji L.	Cardiovascular diabetology	2025	39920715	PMC11806858	10.1186/s12933-025-02611-0
Applying machine learning to high-dimensional proteomics datasets for the identification of Alzheimer's disease biomarkers.	Ivarsson Orrelid C, Rosberg O, Weiner S, Johansson FD, Gobom J, Zetterberg H, Mwai N, Stempfle L.	Fluids and barriers of the CNS	2025	40033432	PMC11874791	10.1186/s12987-025-00634-z
