Metric	Count
Total Entries	1041
Entries with DOI	1041
Entries without DOI	0
	
Entries with PMCID	1041
Entries with PMID Only	0
	
PDF - Successfully Downloaded	1014
PDF - Not Available	27
PDF - Success Rate (% of PMCIDs)	97.4
	
Supplementary - Entries with Files	1018
Supplementary - Total Files Count	1347
Supplementary - Avg Files per Entry	1.32
Supplementary - Success Rate (% of PMCIDs)	97.8
Supplementary - Entries with 1 File	825
Supplementary - Entries with 2-5 Files	185
Supplementary - Entries with 6+ Files	8
	
Title/Abstract - Complete	1041
Title/Abstract - Title Only	0
Title/Abstract - Abstract Only	0
Title/Abstract - Neither	0
Title/Abstract - Success Rate (% of PMCIDs)	100.0
	
Overall - Full Retrieval (PDF+Supp+Title/Abstract)	1005
Overall - Partial Retrieval (PDF+Title/Abstract)	1014
Overall - Minimum Retrieval (PDF Only)	1014
