PMID	PMCID
35582656	PMC8962827
30504639	PMC6630050
37494315	PMC10581726
35874855	PMC9294765
38353917	PMC11043263
39900584	PMC11791183
40115385	PMC11922705
39225775	PMC11666702
33422894	PMC7902477
36111138	PMC9438026
33840174	PMC8042299
35094299	PMC8861232
37689674	PMC10492341
38312282	PMC10837709
31800451	PMC6897314
37350882	PMC10283114
36830712	PMC9953018
34268211	PMC8266002
37899847	PMC10601590
37334615	PMC10473108
36998591	PMC10043063
28664200	PMC5486409
35213359	PMC9255993
38832775	PMC11267879
28953071	PMC5868484
39562137	PMC11789630
38152612	PMC10752691
38954807	PMC11252620
37361461	PMC10052279
36798738	PMC9926933
39076289	PMC11285060
29075547	PMC5624169
38186568	PMC10765129
37492673	PMC10365278
34690447	PMC8522122
38510635	PMC10951698
35132080	PMC8821670
30934564	PMC6473411
39901203	PMC11789348
39628599	PMC11612356
39525962	PMC11543471
33099989	PMC7711119
39919746	PMC11845296
40027192	PMC11866537
37525091	PMC10392020
34760332	PMC8529344
34360343	PMC8345793
31067577	PMC6506330
33826696	PMC8246604
23554109	PMC3811072
30830398	PMC6153696
37332657	PMC10273194
39816270	PMC11731696
38567426	PMC11616947
40074845	PMC11904180
39716296	PMC11664873
34169259	PMC8209373
35049650	PMC8773854
31010833	PMC6548658
32737473	PMC8073243
30805384	PMC6371636
35295246	PMC8920599
32515055	PMC7540586
24396737	PMC3879284
36380516	PMC9731601
34551512	PMC8831420
28605776	PMC5467573
37671046	PMC10476493
34159824	PMC8756479
36589859	PMC9789372
37652864	PMC10497895
40033432	PMC11874791
33811763	PMC8815862
36851083	PMC9962729
35610998	PMC9125693
35497651	PMC9041159
39210378	PMC11363525
36697364	PMC10073265
35039760	PMC8756170
39920715	PMC11806858
39911618	PMC11795679
37436183	PMC10584300
34823308	PMC9293610
34039009	PMC8867103
20072819	PMC2857471
36439397	PMC9686141
35306784	PMC8939455
36678365	PMC9860560
39911153	PMC11795234
39552298	PMC11571247
36120630	PMC9473813
25392745	PMC4226404
22253617	PMC3255105
39276251	PMC11872868
36276885	PMC9583040
36856213	PMC9978716
39004764	PMC11246586
39459404	PMC11509873
33425051	PMC7778490
28154470	PMC5283391
39214549	PMC11367350
36908375	PMC10004203
22053146	PMC3205469
37969577	PMC10631226
36204696	PMC9530987
35663640	PMC9128757
36478350	PMC9938066
35601137	PMC9086604
37547669	PMC10403241
38726037	PMC11078767
36165563	PMC10098758
35571042	PMC9096110
39483709	PMC11525099
39231545	PMC11409329
31522550	PMC7099856
36831025	PMC9953292
34556155	PMC8461876
39073377	PMC11601023
35399185	PMC8991968
37880239	PMC10600209
35095128	PMC8785369
33340312	PMC7798990
39839293	PMC11747270
32467506	PMC7415547
33237246	PMC7664827
34990536	PMC9149237
30545403	PMC6293604
37181241	PMC10170273
36721408	PMC9885377
34820522	PMC8601010
40078668	PMC11899152
34840382	PMC8611216
32138598	PMC7549647
34699925	PMC8692444
39772905	PMC11730357
31445003	PMC6888901
38411507	PMC10898330
32498077	PMC8011704
38128272	PMC10763875
34611396	PMC8485854
30564722	PMC6184101
39658953	PMC11829134
38660584	PMC11042903
38257744	PMC10818795
38586195	PMC10996401
38074418	PMC10700043
20351793	PMC2846370
38369749	PMC10878338
33494756	PMC7831241
36193335	PMC9525754
38374153	PMC10875838
34024283	PMC8142481
34849485	PMC7612046
30108982	PMC6071933
32442043	PMC7680286
38124790	PMC10730368
38883992	PMC11180436
36038778	PMC9586871
38013723	PMC10461732
39678171	PMC11638990
36404987	PMC9673279
39590838	PMC11596251
37501094	PMC10373320
35607360	PMC9123915
34395157	PMC8352151
38665679	PMC11044650
40007420	PMC11866650
37014000	PMC10071555
35442164	PMC9037471
36633942	PMC9992284
28599282	PMC5564607
30942136	PMC6718190
38829053	PMC11528203
28902409	PMC5849485
31714429	PMC6857844
38885141	PMC11218700
38544775	PMC10963864
32789495	PMC8631067
33569552	PMC7871893
37636704	PMC10447347
36733465	PMC9889147
37139177	PMC10140058
34550966	PMC8457453
37666527	PMC10579490
33177815	PMC7649211
33062453	PMC7532764
33274190	PMC7676934
31886876	PMC6936209
34233526	PMC8581823
39679976	PMC11647999
38433764	PMC10906512
39593076	PMC11590401
29858745	PMC6097964
38899016	PMC11186655
33579858	PMC8978589
31030291	PMC6486931
30795786	PMC6387562
35036828	PMC8752331
35598593	PMC9296601
39948449	PMC11823220
37042517	PMC10147375
34704369	PMC8718042
40026409	PMC11864393
39173144	PMC11377909
33147345	PMC7665450
39411443	PMC11474110
20829489	PMC3135376
39415085	PMC11481599
39102514	PMC11460743
39856543	PMC11760114
35669831	PMC9163240
37251086	PMC10214058
35144123	PMC8897225
36863120	PMC10006506
38842612	PMC11607304
30090478	PMC6061930
35317357	PMC8914522
33964096	PMC8237066
39728815	PMC11679129
39165750	PMC11331371
32565913	PMC7285934
36944385	PMC10509314
36452051	PMC9701063
39367349	PMC11451058
37888487	PMC10698504
33239006	PMC7686836
24813568	PMC4087062
36972530	PMC10549471
38823397	PMC11228957
35290722	PMC9015002
38000094	PMC10709126
39773329	PMC11707953
31607788	PMC6788769
32365192	PMC7689198
39039296	PMC11362185
38970690	PMC11227463
34265329	PMC9338423
21248044	PMC3067842
33995200	PMC8113686
39185763	PMC11382266
40079809	PMC11907562
35506115	PMC9051950
39269824	PMC11495322
34270522	PMC10348884
39160604	PMC11331809
33263111	PMC7694891
38729763	PMC11140654
30989415	PMC6536474
38396078	PMC10891085
33134652	PMC7597463
31949400	PMC6955159
39835605	PMC11890425
39920468	PMC11806126
39965870	PMC11836835
34323050	PMC10409381
37351555	PMC10284593
30101442	PMC6282617
37504202	PMC10807651
37521438	PMC10372900
36245831	PMC9539078
39218595	PMC11366475
39085870	PMC11293250
35018506	PMC8752652
36353321	PMC9639534
33371891	PMC7771088
37286740	PMC10356833
39129623	PMC11404758
34335744	PMC8318749
35378840	PMC8976128
34925951	PMC8671660
39337213	PMC11431183
30962703	PMC6433104
39329594	PMC11430310
32662223	PMC7988437
28962616	PMC5622501
37361012	PMC10268549
40046237	PMC11882137
39957176	PMC11764930
36172463	PMC9512095
33167779	PMC7855939
39162569	PMC11389371
35606697	PMC9128253
36586006	PMC9935764
39743646	PMC11693621
37737493	PMC11298155
33330902	PMC8355460
34618106	PMC8331130
34795570	PMC8594429
33230532	PMC7940170
36998311	PMC10046420
38164955	PMC10833344
36757509	PMC9911490
36169033	PMC9903217
39397394	PMC11563559
36964286	PMC10038376
36115637	PMC10311696
34888025	PMC8654111
31764657	PMC6905129
39540287	PMC7616866
33254026	PMC7708824
35322685	PMC9075456
30450040	PMC6224513
32396705	PMC7383774
31025002	PMC6476414
36691062	PMC9869541
37214260	PMC10192934
25994109	PMC5466447
33283214	PMC7713521
