File,Match_Method,JSON_Title,TSV_Title,Similarity,Type
PMC6690680.json,DOI,Modeling and machine learning for ECG feature engineering,A modeling and machine learning approach to ECG feature engineering for the detection of ischemia using pseudo-ECG.,0.63,Content Mismatch
PMC7142336.json,Title,HMMPred: Accurate Prediction of DNA-Binding Proteins Based on HMM Profiles and XGBoost Feature Selection,HMMPred: Accurate Prediction of DNA-Binding Proteins Based on HMM Profiles and XGBoost Feature Selection.,1.00,Content Mismatch
PMC5042084.json,DOI,Accurate contact predictions using covariation techniques and machine learning,Accurate contact predictions using covariation techniques and machine learning.,0.99,Content Mismatch
PMC10316696.json,Title,Deep Neural Networks with Knockoff Features Identify Nonlinear Causal Relations and Estimate Effect Sizes in Complex Biological Systems,Deep neural networks with knockoff features identify nonlinear causal relations and estimate effect sizes in complex biological systems.,0.89,Content Mismatch
PMC7725002.json,DOI,Functional Connectivity Combined With a Machine Learning Algorithm Can Classify High-Risk First-Degree Relatives of Patients With Schizophrenia and Identify Correlates of Cognitive Impairments,Functional Connectivity Combined With a Machine Learning Algorithm Can Classify High-Risk First-Degree Relatives of Patients With Schizophrenia and Identify Correlates of Cognitive Impairments.,1.00,Content Mismatch
PMC5104375.json,DOI,Machine Learning for Characterization of Insect Vector Feeding,Machine Learning for Characterization of Insect Vector Feeding.,0.99,Content Mismatch
PMC7816647.json,Title,Image-based pooled whole-genome CRISPRi screening for subcellular phenotypes,Image-based pooled whole-genome CRISPRi screening for subcellular phenotypes.,0.99,Content Mismatch
PMC3169429.json,Title,Selective inhibition of DNA replicase assembly by a non-natural nucleotide: Exploiting the structural diversity of ATP-binding sites,Selective inhibition of DNA replicase assembly by a non-natural nucleotide: exploiting the structural diversity of ATP-binding sites.,0.99,Content Mismatch
PMC6743778.json,DOI,Benchmarking network propagation methods for disease gene identification,Benchmarking network propagation methods for disease gene identification.,0.99,Content Mismatch
PMC6923882.json,DOI,Not enough information is available.,Identification of lung cancer gene markers through kernel maximum mean discrepancy and information entropy.,0.29,Content Mismatch
PMC4315323.json,DOI,Characterising and predicting haploinsufficiency in the human genome.,Performance of case-control rare copy number variation annotation in classification of autism.,0.29,Content Mismatch
PMC8259419.json,Title,Machine learning model for identifying important clinical features for predicting remission in patients with rheumatoid arthritis treated with biologics,Machine learning model for identifying important clinical features for predicting remission in patients with rheumatoid arthritis treated with biologics.,1.00,Content Mismatch
PMC1892091.json,DOI,Not enough information is available.,Learning biophysically-motivated parameters for alpha helix prediction,0.25,Content Mismatch
PMC7406221.json,DOI,Global RNA Decay in Cyanobacteria,Genome-Wide Analysis of RNA Decay in the Cyanobacterium <i>Synechococcus</i> sp. Strain PCC 7002.,0.48,Content Mismatch
PMC7794018.json,DOI,Radiomics Signature for Gastric Cancer,Intratumoral and Peritumoral Radiomics of Contrast-Enhanced CT for Prediction of Disease-Free Survival and Chemotherapy Response in Stage II/III Gastric Cancer.,0.33,Content Mismatch
PMC6851483.json,Title,Ensembling multiple raw coevolutionary features with deep residual neural networks for contact-map prediction in CASP13,Ensembling multiple raw coevolutionary features with deep residual neural networks for contact-map prediction in CASP13.,1.00,Content Mismatch
PMC3292016.json,DOI,Using Support Vector Machine and Evolutionary Profiles to Predict Antifreeze Protein Sequences,Using support vector machine and evolutionary profiles to predict antifreeze protein sequences.,0.90,Content Mismatch
PMC8261512.json,DOI,Not enough information is available.,A Noninvasive Multianalytical Approach for Lung Cancer Diagnosis of Patients with Pulmonary Nodules.,0.28,Content Mismatch
PMC8204819.json,DOI,A ML PROGRAM to identify COVID-19 & other diseases from hematology data,A machine learning PROGRAM to identify COVID-19 and other diseases from hematology data.,0.86,Content Mismatch
